nom_caracteristique
Connexion à Internet
Tables fixes en U
Chaises mobiles
Monoplaces
Tables mobiles
Chaises fixes
Tables hautes
Chaises hautes
Tables fixes
Écran
Rétroprojecteur
Gradins
Fenêtres
Piano
Autres instruments
Système de son
Salle réservée (spéciale)
Ordinateurs PC
Ordinateurs SUN pour génie électrique
Ordinateurs (oscillomètre et multimètre)
Ordinateurs modélisation des structures
Équipement pour microélectronique
Équipement pour génie électrique
Équipement pour mécatronique
Équipement pour la caractérisation
Équipement pour la thermodynamique
Équipement pour génie civil
Équipement métrologie
Équipement de machinerie
Équipement de géologie
Télévision
VHS
Hauts parleurs
Micro
Magnétophone à cassette
Amplificateur audio
Local barré
Prise réseau
