nom_categorie
Salle de classe générale
Salle de classe spécialisée
Salle de séminaire
Cubicules
Laboratoire informatique
"Laboratoire d’enseignement spécialisé"
Atelier
Salle à dessin
Atelier (civil)
Salle de musique
"Atelier sur 2 étages, conjoint avec autre local"
Salle de conférence
Salle de réunion
"Salle d’entrevue et de tests"
Salle de lecture ou de consultation
Auditorium
Salle de concert
"Salle d’audience"
Salon du personnel
"Studio d’enregistrement"
"Hall d’entrée"
