nom_caracteristique
Connexion à Internet
Tables fixes en U et chaises mobiles
Monoplaces
Tables fixes et chaises fixes
Tables pour 2 ou + et chaises mobiles
Tables mobiles et chaises mobiles
Tables hautes et chaises hautes
Tables fixes et chaises mobiles
Écran
Rétroprojecteur
Gradins
Fenêtres
1 piano
2 pianos
Autres instruments
Système de son
Salle réservée (spéciale)
Ordinateurs PC
Ordinateurs SUN pour génie électrique
Ordinateurs (oscillomètre et multimètre)
Ordinateurs modélisation des structures
Ordinateurs PC
Équipement pour microélectronique
Équipement pour génie électrique
Ordinateurs et équipement pour mécatroni
Équipement métrologie
Équipement de machinerie
Équipement de géologie
Équipement pour la caractérisation
Équipement pour la thermodynamique
Équipement pour génie civil
Télévision
VHS
Hauts parleurs
Micro
Magnétophone à cassette
Amplificateur audio
Local barré
Prise réseau
